,bce_loss,accuracy,precision,recall,f1_score,auroc
0,0.543907147794962,0.7476562261581421,0.6663784384727478,0.7475746870040894,0.7046452760696411,0.8087873458862305
1,0.4564527159929275,0.8075000047683716,0.7854869365692139,0.7181377410888672,0.7503039836883545,0.8628490567207336
2,0.43409599378705027,0.81640625,0.7949947714805603,0.7360494136810303,0.7643873691558838,0.8772424459457397
3,0.4048889735341072,0.8324218988418579,0.8196102976799011,0.7528868317604065,0.7848329544067383,0.8947324156761169
4,0.38646505706012246,0.8403906226158142,0.8187865614891052,0.780253529548645,0.799055814743042,0.9036705493927002
5,0.39168476954102516,0.8380468487739563,0.8227022886276245,0.7704198360443115,0.795703113079071,0.901587963104248
6,0.3819332955032587,0.8405468463897705,0.819538414478302,0.7841233611106873,0.8014398217201233,0.907019853591919
7,0.3704558090120554,0.8504687547683716,0.8328433632850647,0.7800943851470947,0.8056063055992126,0.9106761813163757
8,0.35545163445174693,0.8553906083106995,0.8407775163650513,0.7899747490882874,0.8145847916603088,0.9188120365142822
9,0.3439507931470871,0.8615624904632568,0.8428053259849548,0.808272123336792,0.8251775503158569,0.9240854382514954
10,0.3518149060755968,0.8552343845367432,0.8311974406242371,0.8043015003204346,0.817528247833252,0.9208837151527405
11,0.3435761267691851,0.861328125,0.8452380895614624,0.806041955947876,0.8251748085021973,0.9252848625183105
12,0.34101049810647965,0.8606250286102295,0.8470057249069214,0.7991486191749573,0.8223814964294434,0.924873948097229
13,0.3279598933458328,0.8672656416893005,0.8524022698402405,0.811276912689209,0.8313313126564026,0.9304666519165039
14,0.32685707189142704,0.8687499761581421,0.8596954345703125,0.8106452226638794,0.8344501256942749,0.9315723180770874
15,0.3201039882004261,0.8725000023841858,0.8639652729034424,0.8109838962554932,0.8366366028785706,0.9341895580291748
16,0.3255403386056423,0.8715624809265137,0.8617131114006042,0.8108370304107666,0.8355012536048889,0.9349128007888794
17,0.32363959707319734,0.8672656416893005,0.855362594127655,0.8086133599281311,0.8313312530517578,0.933077335357666
18,0.30088986866176126,0.8807812333106995,0.8779924511909485,0.8156457543373108,0.845671534538269,0.9416021108627319
19,0.30537360191345214,0.8796093463897705,0.8746644854545593,0.8193423748016357,0.8461000323295593,0.9391307234764099
20,0.29622808791697025,0.8832812309265137,0.8729137182235718,0.8343263268470764,0.853183925151825,0.9438009262084961
21,0.2992072740197182,0.8809375166893005,0.8728024959564209,0.8227724432945251,0.847049355506897,0.9419336318969727
22,0.29571593753993514,0.8823437690734863,0.8803384304046631,0.8273381590843201,0.8530157804489136,0.9433819651603699
23,0.29443588308990004,0.8827343583106995,0.8695651888847351,0.8384379744529724,0.8537179827690125,0.9445104002952576
24,0.2907622316479683,0.8845312595367432,0.8741106986999512,0.8402355909347534,0.8568384647369385,0.9454479813575745
25,0.2909894033521414,0.8862500190734863,0.8813875913619995,0.8274180889129639,0.8535506129264832,0.9447836875915527
26,0.2920302488282323,0.8860937356948853,0.8776541948318481,0.8357404470443726,0.8561846613883972,0.9445629119873047
27,0.28342201925814153,0.8910937309265137,0.8888664841651917,0.8394285440444946,0.8634403944015503,0.9482199549674988
28,0.27960102394223213,0.8914843797683716,0.8811841011047363,0.8440473675727844,0.862216055393219,0.949211061000824
29,0.27854459077119825,0.8921093940734863,0.8778029084205627,0.8442817330360413,0.8607160449028015,0.9492312073707581
30,0.28075925312936306,0.8909375071525574,0.8767584562301636,0.8511252403259277,0.8637517094612122,0.949607789516449
31,0.273524608425796,0.8960156440734863,0.8870903253555298,0.8528338074684143,0.8696247935295105,0.9513139724731445
32,0.2558617689460516,0.9020312428474426,0.9034836292266846,0.8491910696029663,0.8754964470863342,0.9572334885597229
33,0.26295670088380574,0.8971093893051147,0.8886445164680481,0.8539865612983704,0.8709708452224731,0.955187201499939
34,0.2634942328929901,0.897656261920929,0.8920641541481018,0.846799373626709,0.868842601776123,0.9540531039237976
35,0.2701802492141724,0.8960156440734863,0.8823763132095337,0.8573359251022339,0.8696759343147278,0.95261150598526
36,0.26478514678776266,0.8969531059265137,0.8921211957931519,0.8490675091743469,0.8700620532035828,0.9537228941917419
37,0.25989227075129745,0.8992968797683716,0.8897653222084045,0.8607401847839355,0.8750120997428894,0.956376314163208
38,0.2588512847200036,0.9017968773841858,0.8971325159072876,0.8574166297912598,0.8768250942230225,0.9558212161064148
39,0.25234835378825665,0.9026562571525574,0.8968887329101562,0.8605051636695862,0.8783203363418579,0.9583062529563904
40,0.24961502823978662,0.8999999761581421,0.8921816945075989,0.8629077672958374,0.8773005604743958,0.9599916338920593
41,0.2469136592373252,0.9055469036102295,0.9023650884628296,0.8601155877113342,0.8807339668273926,0.9595672488212585
42,0.2612838966399431,0.9002344012260437,0.8955934643745422,0.8573057055473328,0.8760314583778381,0.9558396339416504
43,0.244379293397069,0.9046093821525574,0.8990972638130188,0.861923098564148,0.8801177740097046,0.9607897400856018
44,0.25332757011055945,0.901171863079071,0.8977317810058594,0.8573057055473328,0.8770530819892883,0.9584943056106567
45,0.24183734353631736,0.9084374904632568,0.9004115462303162,0.8641390204429626,0.8819024562835693,0.9612256288528442
46,0.2443970089778304,0.9053906202316284,0.8965517282485962,0.8643079400062561,0.880134642124176,0.9606723785400391
47,0.25205127097666263,0.903515636920929,0.898122251033783,0.8611376881599426,0.8792412281036377,0.9577038288116455
48,0.24651144206523895,0.9053906202316284,0.901224672794342,0.8619431853294373,0.8811463117599487,0.9598342776298523
49,0.23465337712317705,0.9090625047683716,0.8969671726226807,0.8660248517990112,0.8812244534492493,0.9628844261169434
50,0.24264695815742016,0.9085937738418579,0.9042831063270569,0.8663070797920227,0.8848878741264343,0.9611139893531799
51,0.23485118739306926,0.9088281393051147,0.9032389521598816,0.8650019764900208,0.8837070465087891,0.9634221196174622
52,0.24305632270872593,0.9071093797683716,0.9021259546279907,0.8651663661003113,0.8832597136497498,0.9615907669067383
53,0.22158294796943664,0.9146093726158142,0.9160725474357605,0.8684820532798767,0.891642689704895,0.9670116305351257
54,0.2422125194221735,0.9080469012260437,0.9044058322906494,0.8640664219856262,0.883776068687439,0.9609801173210144
55,0.22937181793153286,0.9125000238418579,0.9060457348823547,0.8704866766929626,0.8879103660583496,0.9651156663894653
56,0.2283362204581499,0.9117187261581421,0.9062626957893372,0.8694888949394226,0.8874949812889099,0.9656919836997986
57,0.22777113173156976,0.9133594036102295,0.9130434989929199,0.8666536808013916,0.8892439603805542,0.9653635025024414
58,0.2319409481808543,0.9118750095367432,0.9072515964508057,0.8719676733016968,0.8892597556114197,0.9648722410202026
59,0.23566528834402561,0.9088281393051147,0.9041368365287781,0.8690499067306519,0.8862462639808655,0.9635002017021179
60,0.22619277104735375,0.9135937690734863,0.9085575342178345,0.8728863000869751,0.8903647661209106,0.9654853940010071
61,0.23186602078378202,0.9127343893051147,0.9139696955680847,0.864896297454834,0.8887560963630676,0.9642075896263123
62,0.23060287531465293,0.9126562476158142,0.9095151424407959,0.869641125202179,0.8891313672065735,0.9643018245697021
63,0.22470038622617722,0.9157812595367432,0.9179222583770752,0.8745750188827515,0.8957245349884033,0.9666218757629395
64,0.23277770679444074,0.9110156297683716,0.9138883352279663,0.8615503311157227,0.8869478702545166,0.9636445641517639
